1-nanopore- sum,A1,C1,G1,T1,N1,GAP1,2-Illumina- sum,A2,C2,G2,T2,N2,GAP2
1871,2,1822,46,1,0,0,1476,188,645,277,345,21,0
1871,48,0,0,1823,0,0,1476,178,242,294,741,21,0
1871,3,1823,0,45,0,0,1476,275,438,489,254,20,0
1871,1823,2,46,0,0,0,1476,457,576,191,232,20,0
1871,1,1821,48,1,0,0,1476,599,310,202,345,20,0
1871,3,46,1821,1,0,0,1476,262,291,329,574,20,0
1871,47,1822,0,2,0,0,1476,205,355,608,288,20,0
1871,1821,48,1,1,0,0,1476,283,501,281,391,20,0
1871,0,2,1820,49,0,0,1476,163,259,286,748,20,0
1871,1,0,1,1869,0,0,1476,216,246,162,832,20,0
1871,1821,0,45,5,0,0,1476,588,126,319,422,21,0
1871,3,0,2,1866,0,0,1476,206,187,528,534,21,0
1871,1823,1,46,1,0,0,1476,359,103,374,618,22,0
1871,1823,1,46,1,0,0,1476,279,213,615,347,22,0
1871,2,45,1,1823,0,0,1476,233,491,366,364,22,0
1871,2,1,0,1868,0,0,1476,516,455,239,244,22,0
1871,1822,2,1,46,0,0,1476,311,605,148,390,22,0
1871,1867,0,1,3,0,0,1476,233,382,155,684,22,0
1871,0,0,49,1822,0,0,1476,276,617,112,449,22,0
1871,1822,2,0,47,0,0,1476,561,389,263,241,22,0
1871,1868,0,2,1,0,0,1476,287,552,360,255,22,0
1871,1,1823,45,2,0,0,1476,136,526,621,171,22,0
1871,45,1,2,1823,0,0,1476,231,645,291,287,22,0
1871,1866,2,2,1,0,0,1476,616,322,334,182,22,0
1871,1823,2,46,0,0,0,1476,293,286,594,281,22,0
1871,0,2,1,1868,0,0,1476,302,185,299,668,22,0
1871,0,1,3,1867,0,0,1476,517,257,173,507,22,0
1871,1821,1,46,3,0,0,1476,488,151,169,646,22,0
1871,47,1823,1,0,0,0,1476,706,329,176,244,21,0
1871,48,1,1,1821,0,0,1476,596,204,169,486,21,0
1871,46,2,1822,1,0,0,1476,287,257,210,701,21,0
1871,46,1,0,1824,0,0,1476,485,159,69,742,21,0
1871,45,1824,1,1,0,0,1476,687,239,233,296,21,0
1871,1,1,1868,1,0,0,1476,575,125,248,507,21,0
